Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C14, C15, C16, C17, C19, C23, C3, C4",0603,12,0.1uF,
"C10, C9",0603,2,1uF,
"C18, C20",CP_Elec_4x5.3,2,10uF,
"C2, C27",0603,2,4.7uF,
"C21, C22",0603,2,6.8nF,
"C24, C28",0603,2,10nF,
"C25, C26, C7, C8",0603,4,30pF,
"C5, C6",0805,2,10uF,
"D1, D2",D_SMA-SMB_Universal_Handsoldering,2,D_Schottky,
"D3, D4",0603,2,LED,
FB1,0805,1,100R,
FB2,BLM18SP221SN1B,1,BLM18PG121SN1D,
J1,1x02 M4 RING,1,EXT_PWR_CONN,
J2,PinHeader_1x04_P2.54mm_Vertical,1,SWD_CONN,
J3,USB_C_Receptacle_Amphenol_12401610E4-2A,1,12401610E4-2A,
J4,LED Strip Connector,1,WS2815,
J5,WIZNET_RB1-125BAG1A,1,RB1-125BAG1A,
J6,PinSocket_2x04_P2.54mm_Vertical,1,Conn_02x04_Top_Bottom,
"R1, R2",0603,2,5.11K,
"R10, R11, R12, R9",0603,4,49.9,
R13,0603,1,1M,
"R14, R16",0603,2,220,
"R15, R3, R4, R5",0603,4,330,
R17,0603,1,12.4K,
R6,0603,1,100K,
R7,0603,1,100,
R8,0603,1,10,
SW1,FSM4JH,1,FSM4JH,
U1,Mini360_step-down,1,Mini360,
U2,SOT230P700X180-4N,1,NCV1117ST33T3G,
U3,LQFP-64_10x10mm_P0.5mm,1,STM32G0B0RETx,
U4,DIP794W53P254L1930H508Q14N,1,SN74AHCT125N,
U5,DML3006LFDS7,1,DML3006LFDS-7,
U6,LQFP-48_7x7mm_P0.5mm,1,W5500,
Y1,XTAL_ABM8-48.000MHZ-B2-T,1,ABM8-48.000MHZ-B2-T,
Y2,XTAL_ABM8-48.000MHZ-B2-T,1,ABM8-25.000MHZ-B2-T,
