Designator,Mid X,Mid Y,Rotation,Layer
C1,149.775,-91.85,180.0,top
C10,207.5,-93.6135,90.0,top
C11,202.0,-87.8635,0.0,top
C12,164.2384,-112.1509,270.0,top
C13,159.7384,-112.1509,270.0,top
C14,157.4884,-112.1509,270.0,top
C15,155.2384,-112.1509,270.0,top
C16,152.9884,-112.1509,270.0,top
C17,154.0,-98.0,180.0,top
C18,167.9884,-113.4009,270.0,top
C19,173.4884,-104.9009,0.0,top
C2,149.8,-85.85,180.0,top
C20,172.7384,-108.4009,0.0,top
C21,144.4884,-111.9009,0.0,top
C22,144.4884,-108.6509,0.0,top
C23,145.25,-99.4125,90.0,top
C24,150.7384,-112.1509,90.0,top
C25,173.4884,-92.9125,0.0,top
C26,173.4884,-100.1625,180.0,top
C27,161.9884,-112.1259,90.0,top
C28,164.9884,-108.9009,180.0,top
C3,141.0,-92.4125,90.0,top
C4,149.775,-88.85,180.0,top
C5,183.75,-94.1625,270.0,top
C6,181.0,-94.1625,270.0,top
C7,146.1,-86.85,0.0,top
C8,146.025,-93.85,180.0,top
C9,205.25,-93.6135,90.0,top
D1,197.25,-90.25,270.0,top
D2,191.0,-90.35,270.0,top
D3,167.25,-100.1625,90.0,top
D4,217.0,-83.75,90.0,top
FB1,134.0,-82.1625,0.0,top
FB2,149.75,-99.4125,90.0,top
J1,215.25,-98.0,270.0,top
J2,196.75,-79.5,270.0,top
J3,123.59,-86.6625,270.0,top
J4,205.25,-79.45,0.0,top
J5,129.1394,-106.2667,270.0,top
J6,176.3,-88.4525,270.0,top
R1,137.75,-84.4125,180.0,top
R10,145.2384,-103.9009,90.0,top
R11,147.4884,-108.4009,90.0,top
R12,147.4884,-112.1509,270.0,top
R13,170.4884,-100.2509,270.0,top
R14,148.25,-115.1625,180.0,top
R15,170.4884,-96.5009,270.0,top
R16,144.5,-115.1625,180.0,top
R17,150.75,-108.4125,270.0,top
R2,134.0,-84.4125,180.0,top
R3,167.25,-96.4125,270.0,top
R4,213.75,-83.75,90.0,top
R5,149.775,-94.85,0.0,top
R6,197.25,-83.75,180.0,top
R7,206.25,-85.75,180.0,top
R8,147.5,-99.4125,270.0,top
R9,147.4884,-103.9009,90.0,top
SW1,135.5,-92.4125,0.0,top
U1,199.5,-103.3635,180.0,top
U2,182.25,-87.4125,90.0,top
U3,159.5,-88.1625,0.0,top
U4,182.5,-106.9125,0.0,top
U5,206.25,-89.2835,0.0,top
U6,159.5,-103.4125,0.0,top
Y1,146.025,-90.35,0.0,top
Y2,173.6134,-96.5009,180.0,top
